home,away,close_time,pre_close_mid
BKN,MIN,2025-12-28 03:35:18.110264+00:00,0.165
CLE,HOU,2025-12-28 03:40:37.341780+00:00,0.425
UTA,SAS,2025-12-28 03:44:33.856566+00:00,0.855
IND,MIA,2025-12-28 03:50:17.822264+00:00,0.295
NYK,ATL,2025-12-28 03:55:08.499709+00:00,0.335
MIL,CHI,2025-12-28 04:00:44.204537+00:00,0.555
PHI,OKC,2025-12-28 23:04:35.740197+00:00,0.865
GSW,TOR,2025-12-28 23:24:31.340122+00:00,0.625
BOS,POR,2025-12-29 01:49:40.573251+00:00,0.705
MEM,WAS,2025-12-29 01:49:40.961338+00:00,0.715
DET,LAC,2025-12-29 05:04:25.942686+00:00,0.605
SAC,LAL,2025-12-29 05:14:31.067292+00:00,0.805
PHX,WAS,2025-12-30 02:24:55.735835+00:00,0.785
MIL,CHA,2025-12-30 02:35:22.573715+00:00,0.42
DEN,MIA,2025-12-30 03:00:55.333392+00:00,0.545
GSW,BKN,2025-12-30 03:15:10.566233+00:00,0.335
ORL,TOR,2025-12-30 03:20:08.120115+00:00,0.515
IND,HOU,2025-12-30 03:35:10.572484+00:00,0.855
MIN,CHI,2025-12-30 03:44:38.096512+00:00,0.345
NYK,NOP,2025-12-30 04:00:14.193291+00:00,0.255
ATL,OKC,2025-12-30 04:00:14.288924+00:00,0.105
CLE,SAS,2025-12-30 04:09:48.148631+00:00,0.405
DAL,POR,2025-12-30 06:29:49.813669+00:00,0.445
PHI,MEM,2025-12-31 04:00:39.591077+00:00,0.475
BOS,UTA,2025-12-31 04:40:09.292448+00:00,0.705
SAC,LAC,2025-12-31 06:30:15.093783+00:00,0.765
DET,LAL,2025-12-31 06:39:50.876355+00:00,0.565
GSW,CHA,2025-12-31 20:40:21.072856+00:00,0.295
MIN,ATL,2025-12-31 22:30:19.439336+00:00,0.335
ORL,IND,2025-12-31 23:00:05.286855+00:00,0.375
PHX,CLE,2025-12-31 23:14:46.624602+00:00,0.695
NOP,CHI,2026-01-01 02:40:18.272084+00:00,0.525
NYK,SAS,2026-01-01 03:10:05.711367+00:00,0.4
DEN,TOR,2026-01-01 03:14:38.311436+00:00,0.315
POR,OKC,2026-01-01 03:30:31.530117+00:00,0.875
WAS,MIL,2026-01-01 03:34:29.408154+00:00,0.805
HOU,BKN,2026-01-02 01:30:39.591094+00:00,0.185
MIA,DET,2026-01-02 02:54:30.647911+00:00,0.645
PHI,DAL,2026-01-02 03:54:50.795351+00:00,0.445
BOS,SAC,2026-01-02 05:39:56.996156+00:00,0.785
UTA,LAC,2026-01-02 06:14:31.694373+00:00,0.855
SAS,IND,2026-01-03 02:50:38.341923+00:00,0.325
BKN,WAS,2026-01-03 02:55:12.448076+00:00,0.405
DEN,CLE,2026-01-03 03:14:43.842069+00:00,0.855
ATL,NYK,2026-01-03 03:20:15.789882+00:00,0.315
ORL,CHI,2026-01-03 03:40:48.194246+00:00,0.355
POR,NOP,2026-01-03 03:44:38.419359+00:00,0.405
